date,trades_count,pnl_day_dollars,equity_eod
2019-01-01,14,-3685.0,46315.0
2019-01-02,30,8025.5,54340.5
2019-01-03,45,-943.0,53397.5
2019-01-04,25,3.0,53400.5
2019-01-05,0,0.0,53400.5
2019-01-06,14,-958.0,52442.5
2019-01-07,38,-9744.0,42698.5
2019-01-08,36,4889.5,47588.0
2019-01-09,38,-10869.5,36718.5
2019-01-10,40,-110.0,36608.5
2019-01-11,22,-3464.5,33144.0
2019-01-12,0,0.0,33144.0
2019-01-13,8,-575.0,32569.0
2019-01-14,36,1905.5,34474.5
2019-01-15,33,886.5,35361.0
2019-01-16,39,-931.5,34429.5
2019-01-17,41,-7763.5,26666.0
2019-01-18,26,-2403.5,24262.5
2019-01-19,0,0.0,24262.5
2019-01-20,7,1383.0,25645.5
2019-01-21,30,1788.0,27433.5
2019-01-22,39,-834.5,26599.0
2019-01-23,29,8256.0,34855.0
2019-01-24,33,-4248.5,30606.5
2019-01-25,30,-5544.0,25062.5
2019-01-26,0,0.0,25062.5
2019-01-27,8,1170.0,26232.5
2019-01-28,35,1945.0,28177.5
2019-01-29,25,5908.0,34085.5
2019-01-30,27,-6172.0,27913.5
2019-01-31,32,-1147.5,26766.0
2019-02-01,27,-1531.0,25235.0
2019-02-02,0,0.0,25235.0
2019-02-03,6,-31.0,25204.0
2019-02-04,37,-2422.0,22782.0
2019-02-05,32,-623.5,22158.5
2019-02-06,35,-507.0,21651.5
2019-02-07,33,2907.0,24558.5
2019-02-08,21,374.0,24932.5
2019-02-09,0,0.0,24932.5
2019-02-10,8,-143.0,24789.5
2019-02-11,29,-1502.5,23287.0
2019-02-12,40,817.5,24104.5
2019-02-13,34,-1114.5,22990.0
2019-02-14,33,-3339.0,19651.0
2019-02-15,17,3788.0,23439.0
2019-02-16,0,0.0,23439.0
2019-02-17,11,-269.5,23169.5
2019-02-18,31,-1286.0,21883.5
2019-02-19,45,-992.0,20891.5
2019-02-20,29,-83.5,20808.0
2019-02-21,36,-1671.0,19137.0
2019-02-22,22,2383.5,21520.5
2019-02-23,0,0.0,21520.5
2019-02-24,11,-455.0,21065.5
2019-02-25,30,-414.5,20651.0
2019-02-26,26,1278.0,21929.0
2019-02-27,40,-1682.5,20246.5
2019-02-28,43,18.5,20265.0
2019-03-01,29,1048.5,21313.5
2019-03-02,0,0.0,21313.5
2019-03-03,9,-286.0,21027.5
2019-03-04,39,-1296.5,19731.0
2019-03-05,37,-1611.5,18119.5
2019-03-06,35,-2460.5,15659.0
2019-03-07,32,-635.5,15023.5
2019-03-08,26,414.0,15437.5
2019-03-09,0,0.0,15437.5
2019-03-10,6,673.0,16110.5
2019-03-11,31,1117.5,17228.0
2019-03-12,29,-739.5,16488.5
2019-03-13,33,-876.0,15612.5
2019-03-14,38,-985.5,14627.0
2019-03-15,24,-692.5,13934.5
2019-03-16,0,0.0,13934.5
2019-03-17,10,-195.5,13739.0
2019-03-18,32,4.5,13743.5
2019-03-19,32,-537.0,13206.5
2019-03-20,30,-430.0,12776.5
2019-03-21,29,84.0,12860.5
2019-03-22,27,-201.5,12659.0
2019-03-23,0,0.0,12659.0
2019-03-24,8,-724.0,11935.0
2019-03-25,34,-1044.0,10891.0
2019-03-26,31,-249.0,10642.0
2019-03-27,36,297.5,10939.5
2019-03-28,36,222.5,11162.0
2019-03-29,25,1159.0,12321.0
2019-03-30,0,0.0,12321.0
2019-03-31,8,225.0,12546.0
2019-04-01,41,-1517.0,11029.0
2019-04-02,37,853.0,11882.0
2019-04-03,31,311.0,12193.0
2019-04-04,39,-471.5,11721.5
2019-04-05,36,-1713.0,10008.5
2019-04-06,0,0.0,10008.5
2019-04-07,9,-198.0,9810.5
2019-04-08,33,466.0,10276.5
2019-04-09,45,-1182.5,9094.0
2019-04-10,41,-82.0,9012.0
2019-04-11,31,-415.5,8596.5
2019-04-12,25,169.5,8766.0
2019-04-13,0,0.0,8766.0
2019-04-14,10,-160.0,8606.0
2019-04-15,37,263.5,8869.5
2019-04-16,33,400.5,9270.0
2019-04-17,27,38.5,9308.5
2019-04-18,17,1117.0,10425.5
2019-04-19,0,0.0,10425.5
2019-04-20,0,0.0,10425.5
2019-04-21,9,-28.0,10397.5
2019-04-22,35,768.0,11165.5
2019-04-23,28,2143.5,13309.0
2019-04-24,39,214.5,13523.5
2019-04-25,32,-73.0,13450.5
2019-04-26,23,1827.5,15278.0
2019-04-27,0,0.0,15278.0
2019-04-28,10,-302.0,14976.0
2019-04-29,29,-169.5,14806.5
2019-04-30,34,727.0,15533.5
2019-05-01,33,3172.0,18705.5
2019-05-02,36,-1326.0,17379.5
2019-05-03,24,-832.5,16547.0
2019-05-04,0,0.0,16547.0
2019-05-05,9,140.5,16687.5
2019-05-06,33,1409.5,18097.0
2019-05-07,37,-3231.0,14866.0
2019-05-08,44,-596.5,14269.5
2019-05-09,29,-1501.0,12768.5
2019-05-10,19,3640.5,16409.0
2019-05-11,0,0.0,16409.0
2019-05-12,16,-1200.0,15209.0
2019-05-13,34,-3481.5,11727.5
2019-05-14,37,26.5,11754.0
2019-05-15,28,2042.0,13796.0
2019-05-16,30,-270.0,13526.0
2019-05-17,23,471.5,13997.5
2019-05-18,0,0.0,13997.5
2019-05-19,10,-362.0,13635.5
2019-05-20,39,-2665.0,10970.5
2019-05-21,33,-910.5,10060.0
2019-05-22,35,185.5,10245.5
2019-05-23,40,-1635.0,8610.5
2019-05-24,27,-723.5,7887.0
2019-05-25,0,0.0,7887.0
2019-05-26,10,-112.5,7774.5
2019-05-27,27,581.0,8355.5
2019-05-28,30,-496.5,7859.0
2019-05-29,29,-72.0,7787.0
2019-05-30,36,-622.0,7165.0
2019-05-31,23,-1243.5,5921.5
2019-06-01,0,0.0,5921.5
2019-06-02,8,-325.5,5596.0
2019-06-03,32,-271.0,5325.0
2019-06-04,24,-372.0,4953.0
2019-06-05,29,792.5,5745.5
2019-06-06,37,-286.0,5459.5
2019-06-07,28,54.0,5513.5
2019-06-08,0,0.0,5513.5
2019-06-09,7,207.5,5721.0
2019-06-10,31,-142.5,5578.5
2019-06-11,36,-198.0,5380.5
2019-06-12,33,-100.0,5280.5
2019-06-13,40,-287.0,4993.5
2019-06-14,28,-161.5,4832.0
2019-06-15,0,0.0,4832.0
2019-06-16,8,147.0,4979.0
2019-06-17,38,-257.5,4721.5
2019-06-18,33,5.5,4727.0
2019-06-19,38,-907.5,3819.5
2019-06-20,36,57.5,3877.0
2019-06-21,22,-72.0,3805.0
2019-06-22,0,0.0,3805.0
2019-06-23,9,-30.0,3775.0
2019-06-24,37,82.0,3857.0
2019-06-25,30,147.5,4004.5
2019-06-26,34,535.5,4540.0
2019-06-27,31,-57.5,4482.5
2019-06-28,21,632.5,5115.0
2019-06-29,0,0.0,5115.0
2019-06-30,11,-15.0,5100.0
2019-07-01,39,-398.5,4701.5
2019-07-02,31,-185.5,4516.0
2019-07-03,28,-252.5,4263.5
2019-07-04,36,-205.0,4058.5
2019-07-05,20,252.5,4311.0
2019-07-06,0,0.0,4311.0
2019-07-07,12,145.0,4456.0
2019-07-08,33,506.5,4962.5
2019-07-09,36,-455.0,4507.5
2019-07-10,22,191.5,4699.0
2019-07-11,39,-167.0,4532.0
2019-07-12,24,-285.0,4247.0
2019-07-13,0,0.0,4247.0
2019-07-14,9,82.5,4329.5
2019-07-15,36,-396.0,3933.5
2019-07-16,34,212.0,4145.5
2019-07-17,27,472.5,4618.0
2019-07-18,31,1222.5,5840.5
2019-07-19,20,-786.5,5054.0
2019-07-20,0,0.0,5054.0
2019-07-21,16,-216.0,4838.0
2019-07-22,33,267.0,5105.0
2019-07-23,31,621.5,5726.5
2019-07-24,36,154.0,5880.5
2019-07-25,40,-237.5,5643.0
2019-07-26,26,-208.0,5435.0
2019-07-27,0,0.0,5435.0
2019-07-28,9,-150.0,5285.0
2019-07-29,38,171.0,5456.0
2019-07-30,32,-36.0,5420.0
2019-07-31,34,-29.0,5391.0
2019-08-01,32,935.0,6326.0
2019-08-02,24,170.0,6496.0
2019-08-03,0,0.0,6496.0
2019-08-04,9,-400.5,6095.5
2019-08-05,29,-1282.0,4813.5
2019-08-06,31,-343.0,4470.5
2019-08-07,33,-275.0,4195.5
2019-08-08,38,-73.0,4122.5
2019-08-09,18,127.5,4250.0
2019-08-10,0,0.0,4250.0
2019-08-11,11,-32.5,4217.5
2019-08-12,38,-566.0,3651.5
2019-08-13,35,184.0,3835.5
2019-08-14,31,-115.5,3720.0
2019-08-15,30,160.5,3880.5
2019-08-16,27,-145.0,3735.5
2019-08-17,0,0.0,3735.5
2019-08-18,15,-14.0,3721.5
2019-08-19,23,579.5,4301.0
2019-08-20,34,-115.0,4186.0
2019-08-21,42,10.0,4196.0
2019-08-22,25,585.0,4781.0
2019-08-23,23,88.5,4869.5
2019-08-24,0,0.0,4869.5
2019-08-25,11,-34.0,4835.5
2019-08-26,40,-592.5,4243.0
2019-08-27,32,11.0,4254.0
2019-08-28,38,-204.5,4049.5
2019-08-29,33,-24.5,4025.0
2019-08-30,18,607.5,4632.5
2019-08-31,0,0.0,4632.5
2019-09-01,6,186.0,4818.5
2019-09-02,31,-369.0,4449.5
2019-09-03,33,-40.0,4409.5
2019-09-04,27,1414.5,5824.0
2019-09-05,31,-201.5,5622.5
2019-09-06,21,-175.5,5447.0
2019-09-07,0,0.0,5447.0
2019-09-08,15,-291.0,5156.0
2019-09-09,34,773.5,5929.5
2019-09-10,30,647.5,6577.0
2019-09-11,32,1259.0,7836.0
2019-09-12,31,-532.5,7303.5
2019-09-13,24,67.5,7371.0
2019-09-14,0,0.0,7371.0
2019-09-15,11,-110.0,7261.0
2019-09-16,39,-507.0,6754.0
2019-09-17,41,-225.0,6529.0
2019-09-18,34,-393.5,6135.5
2019-09-19,36,-780.5,5355.0
2019-09-20,18,1094.0,6449.0
2019-09-21,0,0.0,6449.0
2019-09-22,10,516.0,6965.0
2019-09-23,26,182.0,7147.0
2019-09-24,32,-806.0,6341.0
2019-09-25,34,1477.0,7818.0
2019-09-26,31,364.0,8182.0
2019-09-27,23,364.0,8546.0
2019-09-28,0,0.0,8546.0
2019-09-29,9,-105.0,8441.0
2019-09-30,45,-1490.0,6951.0
2019-10-01,36,-4.5,6946.5
2019-10-02,31,-1206.5,5740.0
2019-10-03,39,-1694.5,4045.5
2019-10-04,24,-708.0,3337.5
2019-10-05,0,0.0,3337.5
2019-10-06,10,-138.5,3199.0
2019-10-07,33,-109.5,3089.5
2019-10-08,36,85.0,3174.5
2019-10-09,40,544.5,3719.0
2019-10-10,39,-228.0,3491.0
2019-10-11,23,-419.5,3071.5
2019-10-12,0,0.0,3071.5
2019-10-13,13,-22.5,3049.0
2019-10-14,33,-188.0,2861.0
2019-10-15,29,-37.5,2823.5
2019-10-16,30,-61.5,2762.0
2019-10-17,33,-10.5,2751.5
2019-10-18,27,386.0,3137.5
2019-10-19,0,0.0,3137.5
2019-10-20,14,-36.0,3101.5
2019-10-21,40,-24.0,3077.5
2019-10-22,26,-54.0,3023.5
2019-10-23,31,352.5,3376.0
2019-10-24,38,8.0,3384.0
2019-10-25,23,264.0,3648.0
2019-10-26,0,0.0,3648.0
2019-10-27,14,-120.0,3528.0
