trade_id,version,source_iteration,symbol,entry_time,exit_time,entry_date,day_of_week,time_of_day_hhmm,signal_bar_index,entry_bar_index,exit_bar_index,session_break_flag,side,entry_signal_price,entry_fill_price,exit_signal_price,exit_fill_price,slippage_entry_points,slippage_exit_points,slippage_total_points,spread_at_entry_points,exit_reason,sl_price,tp_price,stop_distance_points,target_distance_points,rr_planned,contracts,position_notional,risk_dollars,max_risk_allowed_dollars,risk_utilization,commission_dollars,fees_dollars,gross_pnl_dollars,net_pnl_dollars,r_multiple,hold_bars,hold_minutes,mae_points,mfe_points,mae_dollars,mfe_dollars,equity_before,equity_after,zscore_entry,zscore_prev,zscore_delta,z_band_k,ema_fast,ema_slow,ema_spread,close_price,open_price,high_price,low_price,bar_range_points,bar_body_points,volume,volume_zscore,atr_points,distance_to_ema_fast_points,distance_to_ema_slow_points,label_win,label_hit_tp_first,data_quality_flag,rule_violation_flag,mfe_mae_ratio,entry_score
11,V3,V3,MNQ,2019-01-24 19:34:00,2019-01-24 20:31:00,2019-01-24,3,1934,23132,23133,23190,False,short,6687.75,6687.5,6707.5,6707.5,0.0,0.0,0.0,0.0,stop,6707.5,6627.5,20.0,60.0,3.0,55,735625.0,2200.0,2200.0,1.0,0.0,0.0,-2200.0,-2200.0,-1.0,58,58,-20.25,2.25,-2227.5,247.5,44000.0,41800.0,1.804631182454819,2.653160875009183,-0.8485296925543642,2.5,6686.181998461043,6686.188399378206,-0.0064009171628640615,6687.75,6688.25,6689.25,6687.0,2.25,0.5,81.0,0.2393084044677481,2.017857142857143,1.5680015389571054,1.5616006217942413,0,0,0,0,0.1111111111111111,0.3821290195998283
12,V3,V3,MNQ,2019-01-28 09:41:00,2019-01-28 10:04:00,2019-01-28,0,0941,25344,25345,25368,False,long,6686.5,6686.5,6666.5,6666.5,0.0,0.0,0.0,0.0,stop,6666.5,6746.5,20.0,60.0,3.0,52,695396.0,2080.0,2090.0,0.9952153110047847,0.0,0.0,-2080.0,-2080.0,-1.0,24,24,-22.5,9.5,-2340.0,988.0,41800.0,39720.0,-0.2559790261712461,-2.6413346746474464,2.3853556484762004,2.5,6684.874538704956,6684.809477966317,0.06506073863874917,6686.5,6678.75,6687.75,6678.0,9.75,7.75,1270.0,-0.47952976814952164,5.5,1.6254612950442606,1.6905220336830098,0,0,0,0,0.4222222222222222,0.41319820272955743
13,V3,V3,MNQ,2019-01-29 09:31:00,2019-01-29 09:57:00,2019-01-29,1,0931,26699,26700,26726,False,short,6683.0,6683.0,6623.0,6623.0,0.0,0.0,0.0,0.0,take_profit,6703.0,6623.0,20.0,60.0,3.0,49,654934.0,1960.0,1986.0,0.9869083585095669,0.0,0.0,5880.0,5880.0,3.0,27,27,-0.5,65.0,-49.0,6370.0,39720.0,45600.0,2.024709701743644,3.151789411694972,-1.1270797099513277,2.5,6678.619995046622,6678.848071440447,-0.22807639382517664,6683.0,6685.5,6688.5,6682.0,6.5,2.5,1813.0,0.9010636251521243,4.625,4.380004953378375,4.151928559553198,1,1,0,0,130.0,0.5835702841080547
14,V3,V3,MNQ,2019-01-30 03:53:00,2019-01-30 05:46:00,2019-01-30,2,0353,27726,27727,27840,False,long,6690.0,6690.0,6750.0,6689.5,0.0,0.0,0.0,0.0,opposite_signal,6670.0,6750.0,20.0,60.0,3.0,57,762660.0,2280.0,2280.0,1.0,0.0,0.0,-57.0,-57.0,-0.025,114,114,-7.0,4.5,-798.0,513.0,45600.0,45543.0,-2.4700370508336458,-2.7036509864475597,0.23361393561391397,2.5,6692.470448961085,6692.453460819326,0.016988141758702113,6690.0,6690.5,6691.5,6690.0,1.5,0.5,46.0,-0.5719538504157375,1.8571428571428572,-2.4704489610849123,-2.45346081932621,0,0,0,0,0.6428571428571429,0.43075220489959243
15,V3,V3,MNQ,2019-02-01 09:33:00,2019-02-01 09:59:00,2019-02-01,4,0933,30796,30797,30823,False,long,6914.25,6914.0,6894.0,6894.0,0.0,0.0,0.0,0.0,stop,6894.0,6974.0,20.0,60.0,3.0,56,774368.0,2240.0,2277.15,0.9836857475352963,0.0,0.0,-2240.0,-2240.0,-1.0,27,27,-20.75,11.75,-2324.0,1316.0,45543.0,43303.0,-1.2854621581757093,-2.5965993200193584,1.3111371618436491,2.5,6917.811571971797,6917.16466277207,0.6469091997269061,6914.25,6909.25,6915.0,6909.0,6.0,5.0,1659.0,0.2644989192523522,5.214285714285714,-3.5615719717970933,-2.914662772070187,0,0,0,0,0.5662650602409639,0.5843141964359314
16,V3,V3,MNQ,2019-02-06 03:54:00,2019-02-06 06:33:00,2019-02-06,2,0354,34552,34553,34712,False,short,6994.25,6994.5,7014.5,7014.5,0.0,0.0,0.0,0.0,stop,7014.5,6934.5,20.0,60.0,3.0,54,755406.0,2160.0,2165.15,0.9976214119114148,0.0,0.0,-2160.0,-2160.0,-1.0,160,160,-21.25,0.0,-2295.0,0.0,43303.0,41143.0,1.474190005025384,2.803535818232424,-1.3293458132070402,2.5,6993.7498937655855,6993.867663166684,-0.1177694010984851,6994.25,6995.0,6995.25,6994.25,1.0,0.75,47.0,-0.5634384231535835,1.1964285714285714,0.5001062344144884,0.3823368333160033,0,0,0,0,0.0,0.41895785538879865
17,V3,V3,MNQ,2019-02-07 06:34:00,2019-02-07 08:30:00,2019-02-07,3,0634,36077,36078,36194,False,long,6956.0,6956.0,6936.0,6936.0,0.0,0.0,0.0,0.0,stop,6936.0,7016.0,20.0,60.0,3.0,51,709512.0,2040.0,2057.15,0.9916632233915854,0.0,0.0,-2040.0,-2040.0,-1.0,117,117,-30.25,0.25,-3085.5,25.5,41143.0,39103.0,-1.4675117019810964,-2.657693179273046,1.1901814772919495,2.5,6957.098109526296,6957.068812841177,0.029296685119334143,6956.0,6954.5,6956.25,6954.25,2.0,1.5,104.0,-0.10249142108126447,1.875,-1.098109526295957,-1.068812841176623,0,0,0,0,0.008264462809917356,0.48279846654881975
18,V3,V3,MNQ,2019-02-07 08:58:00,2019-02-07 09:27:00,2019-02-07,3,0858,36221,36222,36251,False,short,6929.0,6929.0,6949.0,6949.0,0.0,0.0,0.0,0.0,stop,6949.0,6869.0,20.0,60.0,3.0,48,665184.0,1920.0,1955.15,0.9820218397565403,0.0,0.0,-1920.0,-1920.0,-1.0,30,30,-20.75,9.0,-1992.0,864.0,39103.0,37183.0,2.239512788813712,2.6012268613934566,-0.36171407257974453,2.5,6922.79427173252,6923.3630534598615,-0.5687817273410474,6929.0,6928.25,6929.75,6923.75,6.0,0.75,1637.0,-1.0837847752004481,6.625,6.2057282674795715,5.636946540138524,0,0,0,0,0.43373493975903615,0.4675133092149907
19,V3,V3,MNQ,2019-02-15 01:57:00,2019-02-15 02:48:00,2019-02-15,4,0157,43985,43986,44037,False,short,6980.5,6980.5,7000.5,7000.5,0.0,0.0,0.0,0.0,stop,7000.5,6920.5,20.0,60.0,3.0,46,642206.0,1840.0,1859.15,0.9896995939004384,0.0,0.0,-1840.0,-1840.0,-1.0,52,52,-21.0,1.0,-1932.0,92.0,37183.0,35343.0,2.4238058115972185,3.045388356827534,-0.6215825452303156,2.5,6979.157695898009,6979.184079428654,-0.026383530645034625,6980.5,6980.25,6980.5,6979.5,1.0,0.25,54.0,-0.16291380571909878,1.2142857142857142,1.3423041019914308,1.3159205713463962,0,0,0,0,0.047619047619047616,0.43029023209956824
20,V3,V3,MNQ,2019-02-15 11:35:00,2019-02-20 09:40:00,2019-02-15,4,1135,44563,44564,48319,False,long,7042.75,7042.75,7102.75,7102.75,0.0,0.0,0.0,0.0,take_profit,7022.75,7102.75,20.0,60.0,3.0,44,619762.0,1760.0,1767.15,0.9959539371304077,0.0,0.0,5280.0,5280.0,3.0,3756,3756,-12.25,62.0,-1078.0,5456.0,35343.0,40623.0,-2.3800208717163733,-3.172723825136257,0.7927029534198837,2.5,7045.124766546625,7044.923158378785,0.20160816784027702,7042.75,7042.75,7043.25,7041.75,1.5,0.0,374.0,-0.5223970484917265,2.3214285714285716,-2.374766546625324,-2.173158378785047,1,1,0,0,5.061224489795919,0.46994656146066205
