entry_time,side,entry_fill_price,sl_price,tp_price,net_pnl_dollars,cumulative_net_pnl_dollars
2019-01-01 22:25:00,short,6281.75,6301.75,6221.75,7440.0,7440.0
2019-01-02 07:50:00,short,6192.25,6212.25,6132.25,-2840.0,4600.0
2019-01-03 01:21:00,long,6216.5,6196.5,6276.5,-2720.0,1880.0
2019-01-06 18:41:00,long,6484.5,6464.5,6544.5,-2560.0,-680.0
2019-01-11 15:00:00,long,6613.0,6593.0,6673.0,-2440.0,-3120.0
2019-01-15 13:52:00,short,6653.5,6673.5,6593.5,-2320.0,-5440.0
2019-01-16 17:52:00,long,6669.25,6649.25,6729.25,-2200.0,-7640.0
2019-01-20 20:01:00,long,6773.5,6753.5,6833.5,-2080.0,-9720.0
2019-01-22 07:44:00,short,6743.0,6763.0,6683.0,6000.0,-3720.0
2019-01-23 19:32:00,long,6684.25,6664.25,6744.25,-2280.0,-6000.0
2019-01-24 19:34:00,short,6687.5,6707.5,6627.5,-2200.0,-8200.0
2019-01-28 09:41:00,long,6686.5,6666.5,6746.5,-2080.0,-10280.0
2019-01-29 09:31:00,short,6683.0,6703.0,6623.0,5880.0,-4400.0
2019-01-30 03:53:00,long,6690.0,6670.0,6750.0,-57.0,-4457.0
2019-02-01 09:33:00,long,6914.0,6894.0,6974.0,-2240.0,-6697.0
2019-02-06 03:54:00,short,6994.5,7014.5,6934.5,-2160.0,-8857.0
2019-02-07 06:34:00,long,6956.0,6936.0,7016.0,-2040.0,-10897.0
2019-02-07 08:58:00,short,6929.0,6949.0,6869.0,-1920.0,-12817.0
2019-02-15 01:57:00,short,6980.5,7000.5,6920.5,-1840.0,-14657.0
2019-02-15 11:35:00,long,7042.75,7022.75,7102.75,5280.0,-9377.0
2019-02-26 08:34:00,long,7100.5,7080.5,7160.5,-2000.0,-11377.0
2019-02-28 05:00:00,long,7090.0,7070.0,7150.0,5760.0,-5617.0
2019-03-07 10:53:00,long,7069.5,7049.5,7129.5,-2200.0,-7817.0
2019-03-11 18:21:00,long,7218.0,7198.0,7278.0,-2080.0,-9897.0
2019-03-13 14:29:00,short,7297.75,7317.75,7237.75,-500.0,-10397.0
2019-03-13 17:40:00,long,7306.25,7286.25,7366.25,-1960.0,-12357.0
2019-03-20 17:02:00,short,7403.5,7423.5,7343.5,-1880.0,-14237.0
2019-03-24 17:01:00,long,7386.0,7366.0,7446.0,-1760.0,-15997.0
2019-03-25 00:18:00,long,7318.25,7298.25,7378.25,-1680.0,-17677.0
2019-03-28 01:57:00,long,7320.0,7300.0,7380.0,4800.0,-12877.0
2019-03-31 17:45:00,long,7451.0,7431.0,7511.0,5520.0,-7357.0
2019-04-04 23:07:00,long,7572.25,7552.25,7632.25,6360.0,-997.0
2019-04-11 11:06:00,short,7621.25,7641.25,7561.25,-640.5,-1637.5
2019-04-12 11:37:00,long,7637.5,7617.5,7697.5,-2400.0,-4037.5
2019-04-15 11:58:00,long,7623.25,7603.25,7683.25,3249.0,-788.5
2019-04-17 20:35:00,short,7683.75,7703.75,7623.75,-2440.0,-3228.5
2019-04-24 09:32:00,long,7829.75,7809.75,7889.75,-2320.0,-5548.5
2019-04-25 11:01:00,long,7852.25,7832.25,7912.25,-2200.0,-7748.5
2019-04-26 13:51:00,long,7817.0,7797.0,7877.0,-1144.0,-8892.5
2019-05-05 17:01:00,short,7750.25,7770.25,7690.25,6120.0,-2772.5
2019-05-08 06:27:00,short,7621.75,7641.75,7561.75,-2360.0,-5132.5
2019-05-08 17:01:00,short,7635.75,7655.75,7575.75,6720.0,1587.5
2019-05-10 03:28:00,short,7577.75,7597.75,7517.75,-2560.0,-972.5
2019-05-10 15:52:00,long,7612.0,7592.0,7672.0,-2440.0,-3412.5
2019-05-13 08:31:00,long,7424.5,7404.5,7484.5,-2320.0,-5732.5
2019-05-23 07:58:00,long,7346.75,7326.75,7406.75,-2200.0,-7932.5
2019-05-24 11:52:00,long,7340.25,7320.25,7400.25,-2080.0,-10012.5
2019-05-27 11:41:00,long,7314.75,7294.75,7374.75,-1960.0,-11972.5
2019-05-29 17:02:00,short,7216.0,7236.0,7156.0,-1880.0,-13852.5
2019-05-31 12:53:00,long,7169.25,7149.25,7229.25,-1800.0,-15652.5
2019-06-05 07:43:00,short,7218.25,7238.25,7158.25,-1680.0,-17332.5
2019-06-05 10:50:00,long,7197.0,7177.0,7257.0,4800.0,-12532.5
2019-06-06 03:08:00,long,7248.0,7228.0,7308.0,-1840.0,-14372.5
2019-06-06 10:46:00,long,7242.75,7222.75,7302.75,5280.0,-9092.5
2019-06-17 01:25:00,short,7531.75,7551.75,7471.75,-2040.0,-11132.5
2019-06-25 13:59:00,short,7627.5,7647.5,7567.5,-1920.0,-13052.5
2019-07-05 07:31:00,short,7858.25,7878.25,7798.25,-1840.0,-14892.5
2019-07-05 07:33:00,short,7861.5,7881.5,7801.5,5160.0,-9732.5
2019-07-05 15:56:00,short,7854.5,7874.5,7794.5,6000.0,-3732.5
2019-07-10 13:04:00,long,7931.25,7911.25,7991.25,-2280.0,-6012.5
2019-07-10 18:38:00,short,7926.75,7946.75,7866.75,-2160.0,-8172.5
2019-07-11 00:01:00,long,7961.0,7941.0,8021.0,-2080.0,-10252.5
2019-07-11 10:43:00,long,7948.0,7928.0,8008.0,-1960.0,-12212.5
2019-07-12 07:32:00,long,7938.5,7918.5,7998.5,5640.0,-6572.5
2019-07-16 12:31:00,long,7959.5,7939.5,8019.5,-2160.0,-8732.5
2019-07-22 17:01:00,long,7930.5,7910.5,7990.5,-2040.0,-10772.5
2019-07-25 06:22:00,long,8011.0,7991.0,8071.0,-1960.0,-12732.5
2019-07-25 10:43:00,short,7964.75,7984.75,7904.75,897.0,-11835.5
2019-07-25 15:49:00,long,7978.75,7958.75,8038.75,1081.0,-10754.5
2019-07-31 01:45:00,short,7984.75,8004.75,7924.75,-637.0,-11391.5
2019-07-31 18:36:00,long,7845.0,7825.0,7905.0,5760.0,-5631.5
2019-08-05 02:52:00,short,7596.75,7616.75,7536.75,6600.0,968.5
2019-08-06 04:02:00,long,7467.5,7447.5,7527.5,7560.0,8528.5
2019-08-09 15:32:00,short,7660.5,7680.5,7600.5,-2920.0,5608.5
2019-08-13 14:42:00,short,7739.25,7759.25,7679.25,-2760.0,2848.5
2019-08-14 23:31:00,short,7499.25,7519.25,7439.25,-2640.0,208.5
2019-08-15 00:39:00,long,7520.5,7500.5,7580.5,-2480.0,-2271.5
2019-08-19 20:10:00,short,7706.75,7726.75,7646.75,-2360.0,-4631.5
2019-08-20 17:53:00,long,7669.5,7649.5,7729.5,6720.0,2088.5
2019-08-27 00:33:00,short,7582.5,7602.5,7522.5,-2600.0,-511.5
2019-08-28 10:03:00,long,7566.0,7546.0,7626.0,7320.0,6808.5
2019-09-03 09:31:00,short,7622.0,7642.0,7562.0,-2840.0,3968.5
2019-09-04 03:05:00,long,7724.0,7704.0,7784.0,-2680.0,1288.5
2019-09-04 12:19:00,long,7713.75,7693.75,7773.75,7680.0,8968.5
2019-09-05 06:24:00,short,7812.25,7832.25,7752.25,-401.5,8567.0
2019-09-05 14:41:00,long,7868.25,7848.25,7928.25,-2920.0,5647.0
2019-09-09 04:25:00,long,7871.75,7851.75,7931.75,-2760.0,2887.0
2019-09-11 03:08:00,long,7828.75,7808.75,7888.75,-2640.0,247.0
2019-09-11 19:06:00,long,7947.0,7927.0,8007.0,-2480.0,-2233.0
2019-09-12 09:37:00,long,7957.0,7937.0,8017.0,-2360.0,-4593.0
2019-09-27 08:24:00,long,7804.0,7784.0,7864.0,-2240.0,-6833.0
2019-09-30 01:45:00,long,7739.0,7719.0,7799.0,-2120.0,-8953.0
2019-09-30 18:15:00,short,7780.25,7800.25,7720.25,-2040.0,-10993.0
2019-10-01 09:02:00,long,7823.5,7803.5,7883.5,-1920.0,-12913.0
2019-10-03 03:41:00,long,7581.0,7561.0,7641.0,-1840.0,-14753.0
2019-10-03 08:32:00,long,7562.5,7542.5,7622.5,-1760.0,-16513.0
2019-10-03 18:16:00,short,7650.0,7670.0,7590.0,-1640.0,-18153.0
2019-10-04 09:52:00,short,7707.0,7727.0,7647.0,-1560.0,-19713.0
2019-10-08 23:01:00,short,7637.75,7657.75,7577.75,-1480.0,-21193.0
2019-10-10 19:31:00,short,7770.5,7790.5,7710.5,-1440.0,-22633.0
2019-10-15 04:12:00,short,7894.0,7914.0,7834.0,-1360.0,-23993.0
2019-10-16 14:02:00,long,7931.0,7911.0,7991.0,3840.0,-20153.0
2019-10-20 17:01:00,short,7873.25,7893.25,7813.25,-1480.0,-21633.0
2019-10-21 00:31:00,short,7899.5,7919.5,7839.5,-1400.0,-23033.0
2019-10-23 07:54:00,long,7861.0,7841.0,7921.0,3960.0,-19073.0
2019-10-25 03:03:00,short,7936.25,7956.25,7876.25,-1520.0,-20593.0
2019-10-28 04:41:00,short,8056.5,8076.5,7996.5,-1440.0,-22033.0
2019-10-28 08:53:00,long,8085.75,8065.75,8145.75,-1360.0,-23393.0
2019-11-10 18:32:00,short,8250.0,8270.0,8190.0,1188.0,-22205.0
2019-11-11 12:57:00,long,8248.75,8228.75,8308.75,-1360.0,-23565.0
2019-11-14 01:52:00,long,8258.0,8238.0,8318.0,-1320.0,-24885.0
2019-11-17 17:23:00,short,8315.75,8335.75,8255.75,-1240.0,-26125.0
2019-11-18 05:18:00,short,8334.5,8354.5,8274.5,-1160.0,-27285.0
