date,trades_count,pnl_day_dollars,equity_eod
2019-01-01,1,7440.0,57440.0
2019-01-02,1,-2840.0,54600.0
2019-01-03,1,-2720.0,51880.0
2019-01-04,0,0.0,51880.0
2019-01-05,0,0.0,51880.0
2019-01-06,1,-2560.0,49320.0
2019-01-07,0,0.0,49320.0
2019-01-08,0,0.0,49320.0
2019-01-09,0,0.0,49320.0
2019-01-10,0,0.0,49320.0
2019-01-11,1,-2440.0,46880.0
2019-01-12,0,0.0,46880.0
2019-01-13,0,0.0,46880.0
2019-01-14,0,0.0,46880.0
2019-01-15,1,-2320.0,44560.0
2019-01-16,1,-2200.0,42360.0
2019-01-17,0,0.0,42360.0
2019-01-18,0,0.0,42360.0
2019-01-19,0,0.0,42360.0
2019-01-20,1,-2080.0,40280.0
2019-01-21,0,0.0,40280.0
2019-01-22,1,6000.0,46280.0
2019-01-23,1,-2280.0,44000.0
2019-01-24,1,-2200.0,41800.0
2019-01-25,0,0.0,41800.0
2019-01-26,0,0.0,41800.0
2019-01-27,0,0.0,41800.0
2019-01-28,1,-2080.0,39720.0
2019-01-29,1,5880.0,45600.0
2019-01-30,1,-57.0,45543.0
2019-01-31,0,0.0,45543.0
2019-02-01,1,-2240.0,43303.0
2019-02-02,0,0.0,43303.0
2019-02-03,0,0.0,43303.0
2019-02-04,0,0.0,43303.0
2019-02-05,0,0.0,43303.0
2019-02-06,1,-2160.0,41143.0
2019-02-07,2,-3960.0,37183.0
2019-02-08,0,0.0,37183.0
2019-02-09,0,0.0,37183.0
2019-02-10,0,0.0,37183.0
2019-02-11,0,0.0,37183.0
2019-02-12,0,0.0,37183.0
2019-02-13,0,0.0,37183.0
2019-02-14,0,0.0,37183.0
2019-02-15,2,3440.0,40623.0
2019-02-16,0,0.0,40623.0
2019-02-17,0,0.0,40623.0
2019-02-18,0,0.0,40623.0
2019-02-19,0,0.0,40623.0
2019-02-20,0,0.0,40623.0
2019-02-21,0,0.0,40623.0
2019-02-22,0,0.0,40623.0
2019-02-23,0,0.0,40623.0
2019-02-24,0,0.0,40623.0
2019-02-25,0,0.0,40623.0
2019-02-26,1,-2000.0,38623.0
2019-02-27,0,0.0,38623.0
2019-02-28,1,5760.0,44383.0
2019-03-01,0,0.0,44383.0
2019-03-02,0,0.0,44383.0
2019-03-03,0,0.0,44383.0
2019-03-04,0,0.0,44383.0
