date,trades_count,pnl_day_dollars,equity_eod
2019-01-01,14,-61.5,1938.5
2019-01-02,30,148.0,2086.5
2019-01-03,45,25.0,2111.5
2019-01-04,25,6.0,2117.5
2019-01-05,0,0.0,2117.5
2019-01-06,14,-14.0,2103.5
2019-01-07,38,-283.5,1820.0
2019-01-08,36,131.0,1951.0
2019-01-09,37,-154.0,1797.0
2019-01-10,40,7.0,1804.0
2019-01-11,22,-70.5,1733.5
2019-01-12,0,0.0,1733.5
2019-01-13,8,-14.0,1719.5
2019-01-14,36,50.5,1770.0
2019-01-15,33,32.0,1802.0
2019-01-16,39,-17.5,1784.5
2019-01-17,41,-205.0,1579.5
2019-01-18,26,-74.5,1505.0
2019-01-19,0,0.0,1505.0
2019-01-20,7,46.0,1551.0
2019-01-21,30,56.5,1607.5
2019-01-22,39,-57.0,1550.5
2019-01-23,29,233.0,1783.5
2019-01-24,32,-0.5,1783.0
2019-01-25,31,-51.5,1731.5
2019-01-26,0,0.0,1731.5
2019-01-27,7,-17.5,1714.0
2019-01-28,35,-105.5,1608.5
2019-01-29,25,165.0,1773.5
2019-01-30,27,-185.0,1588.5
2019-01-31,32,-31.5,1557.0
2019-02-01,27,-50.5,1506.5
2019-02-02,0,0.0,1506.5
2019-02-03,6,-1.0,1505.5
2019-02-04,37,-81.0,1424.5
2019-02-05,32,-20.0,1404.5
2019-02-06,35,-17.5,1387.0
2019-02-07,33,114.5,1501.5
2019-02-08,21,18.5,1520.0
2019-02-09,0,0.0,1520.0
2019-02-10,8,-4.5,1515.5
2019-02-11,29,-41.5,1474.0
2019-02-12,40,32.5,1506.5
2019-02-13,34,-38.0,1468.5
2019-02-14,33,-119.0,1349.5
2019-02-15,17,146.5,1496.0
2019-02-16,0,0.0,1496.0
2019-02-17,11,-9.0,1487.0
2019-02-18,31,-46.5,1440.5
2019-02-19,45,-33.5,1407.0
2019-02-20,29,-8.0,1399.0
2019-02-21,36,-65.5,1333.5
2019-02-22,22,100.5,1434.0
2019-02-23,0,0.0,1434.0
2019-02-24,11,-17.5,1416.5
2019-02-25,30,-15.0,1401.5
2019-02-26,26,53.0,1454.5
2019-02-27,40,-62.5,1392.0
2019-02-28,43,1.5,1393.5
2019-03-01,29,46.5,1440.0
2019-03-02,0,0.0,1440.0
2019-03-03,9,-11.0,1429.0
2019-03-04,39,-49.5,1379.5
2019-03-05,37,-68.5,1311.0
2019-03-06,35,-113.5,1197.5
2019-03-07,32,0.0,1197.5
2019-03-08,26,0.0,1197.5
2019-03-09,0,0.0,1197.5
2019-03-10,6,0.0,1197.5
2019-03-11,31,0.0,1197.5
2019-03-12,29,0.0,1197.5
2019-03-13,33,0.0,1197.5
2019-03-14,38,0.0,1197.5
2019-03-15,24,0.0,1197.5
2019-03-16,0,0.0,1197.5
2019-03-17,10,0.0,1197.5
2019-03-18,32,0.0,1197.5
2019-03-19,32,0.0,1197.5
2019-03-20,30,0.0,1197.5
2019-03-21,29,0.0,1197.5
2019-03-22,27,0.0,1197.5
2019-03-23,0,0.0,1197.5
2019-03-24,8,0.0,1197.5
2019-03-25,34,0.0,1197.5
2019-03-26,31,0.0,1197.5
2019-03-27,36,0.0,1197.5
2019-03-28,36,0.0,1197.5
2019-03-29,25,0.0,1197.5
2019-03-30,0,0.0,1197.5
2019-03-31,8,0.0,1197.5
2019-04-01,41,0.0,1197.5
2019-04-02,37,0.0,1197.5
2019-04-03,31,0.0,1197.5
2019-04-04,39,0.0,1197.5
2019-04-05,36,0.0,1197.5
2019-04-06,0,0.0,1197.5
2019-04-07,9,0.0,1197.5
2019-04-08,33,0.0,1197.5
2019-04-09,45,0.0,1197.5
2019-04-10,41,0.0,1197.5
2019-04-11,31,0.0,1197.5
2019-04-12,25,0.0,1197.5
2019-04-13,0,0.0,1197.5
2019-04-14,10,0.0,1197.5
2019-04-15,37,0.0,1197.5
2019-04-16,33,0.0,1197.5
2019-04-17,27,0.0,1197.5
2019-04-18,17,0.0,1197.5
2019-04-19,0,0.0,1197.5
2019-04-20,0,0.0,1197.5
2019-04-21,9,0.0,1197.5
2019-04-22,35,0.0,1197.5
2019-04-23,28,0.0,1197.5
2019-04-24,39,0.0,1197.5
2019-04-25,32,0.0,1197.5
2019-04-26,23,0.0,1197.5
2019-04-27,0,0.0,1197.5
2019-04-28,10,0.0,1197.5
2019-04-29,29,0.0,1197.5
2019-04-30,34,0.0,1197.5
2019-05-01,33,0.0,1197.5
2019-05-02,36,0.0,1197.5
2019-05-03,24,0.0,1197.5
2019-05-04,0,0.0,1197.5
2019-05-05,9,0.0,1197.5
2019-05-06,33,0.0,1197.5
2019-05-07,37,0.0,1197.5
2019-05-08,44,0.0,1197.5
2019-05-09,29,0.0,1197.5
2019-05-10,19,0.0,1197.5
2019-05-11,0,0.0,1197.5
2019-05-12,16,0.0,1197.5
2019-05-13,34,0.0,1197.5
2019-05-14,37,0.0,1197.5
2019-05-15,28,0.0,1197.5
2019-05-16,30,0.0,1197.5
2019-05-17,23,0.0,1197.5
2019-05-18,0,0.0,1197.5
2019-05-19,10,0.0,1197.5
2019-05-20,38,0.0,1197.5
2019-05-21,34,0.0,1197.5
2019-05-22,34,0.0,1197.5
2019-05-23,40,0.0,1197.5
2019-05-24,27,0.0,1197.5
2019-05-25,0,0.0,1197.5
2019-05-26,10,0.0,1197.5
2019-05-27,27,0.0,1197.5
2019-05-28,30,0.0,1197.5
2019-05-29,29,0.0,1197.5
2019-05-30,36,0.0,1197.5
2019-05-31,23,0.0,1197.5
2019-06-01,0,0.0,1197.5
2019-06-02,8,0.0,1197.5
2019-06-03,32,0.0,1197.5
2019-06-04,24,0.0,1197.5
2019-06-05,29,0.0,1197.5
2019-06-06,37,0.0,1197.5
2019-06-07,28,0.0,1197.5
2019-06-08,0,0.0,1197.5
2019-06-09,7,0.0,1197.5
2019-06-10,31,0.0,1197.5
2019-06-11,36,0.0,1197.5
2019-06-12,33,0.0,1197.5
2019-06-13,40,0.0,1197.5
2019-06-14,28,0.0,1197.5
2019-06-15,0,0.0,1197.5
2019-06-16,8,0.0,1197.5
2019-06-17,38,0.0,1197.5
2019-06-18,33,0.0,1197.5
2019-06-19,38,0.0,1197.5
2019-06-20,36,0.0,1197.5
2019-06-21,22,0.0,1197.5
2019-06-22,0,0.0,1197.5
2019-06-23,9,0.0,1197.5
2019-06-24,37,0.0,1197.5
2019-06-25,30,0.0,1197.5
2019-06-26,34,0.0,1197.5
2019-06-27,31,0.0,1197.5
2019-06-28,21,0.0,1197.5
2019-06-29,0,0.0,1197.5
2019-06-30,11,0.0,1197.5
2019-07-01,39,0.0,1197.5
2019-07-02,31,0.0,1197.5
2019-07-03,28,0.0,1197.5
2019-07-04,36,0.0,1197.5
2019-07-05,20,0.0,1197.5
2019-07-06,0,0.0,1197.5
2019-07-07,12,0.0,1197.5
2019-07-08,33,0.0,1197.5
2019-07-09,36,0.0,1197.5
2019-07-10,22,0.0,1197.5
2019-07-11,39,0.0,1197.5
2019-07-12,24,0.0,1197.5
2019-07-13,0,0.0,1197.5
2019-07-14,9,0.0,1197.5
2019-07-15,36,0.0,1197.5
2019-07-16,34,0.0,1197.5
2019-07-17,27,0.0,1197.5
2019-07-18,31,0.0,1197.5
2019-07-19,20,0.0,1197.5
2019-07-20,0,0.0,1197.5
2019-07-21,16,0.0,1197.5
2019-07-22,33,0.0,1197.5
2019-07-23,31,0.0,1197.5
2019-07-24,36,0.0,1197.5
2019-07-25,40,0.0,1197.5
2019-07-26,26,0.0,1197.5
2019-07-27,0,0.0,1197.5
2019-07-28,9,0.0,1197.5
2019-07-29,38,0.0,1197.5
2019-07-30,32,0.0,1197.5
2019-07-31,33,0.0,1197.5
2019-08-01,32,0.0,1197.5
