trade_id,combo_id,entry_time,entry_date,exit_time,equity_before,equity_after,side,entry_fill_price,exit_price,sl_price,tp_price,stop_pts,tp_pts,min_rr_planned,rr_planned,z_band_k,contracts,pnl_points,r_multiple,gross_pnl_dollars,friction_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,exit_reason,label_win,label_hit_tp_first,mae_points,mfe_points,mfe_mae_ratio,hold_bars,entry_bar_idx,exit_bar_idx
1,865,2024-11-08T07:00:00,2024-11-08,2024-11-08T07:00:00,2000.0,1959.964501297567,long,21182.75,21165.732250648784,21165.732250648784,21214.19286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,-40.03549870243296,stop,False,False,-25.75,12.25,0.47572815533980584,1,148,148
2,865,2024-11-11T11:00:00,2024-11-11,2024-11-11T11:00:00,1959.964501297567,1919.929002595134,long,21203.25,21186.232250648784,21186.232250648784,21234.69286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,-80.07099740486592,stop,False,False,-46.25,9.75,0.21081081081081082,1,175,175
3,865,2024-11-12T15:00:00,2024-11-12,2024-11-12T17:00:00,1919.929002595134,1976.8147293688526,short,21185.5,21154.05713661314,21202.517749351216,21154.05713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,-23.185270631147432,take_profit,True,True,-14.25,43.0,3.017543859649123,2,202,203
4,865,2024-11-13T17:00:00,2024-11-13,2024-11-13T17:00:00,1976.8147293688526,1936.7792306664196,long,21167.0,21149.982250648784,21149.982250648784,21198.44286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,-63.22076933358039,stop,False,False,-20.5,8.25,0.4024390243902439,1,226,226
5,865,2024-11-18T12:00:00,2024-11-18,2024-11-18T12:00:00,1936.7792306664196,1993.664957440138,short,20661.25,20629.80713661314,20678.267749351216,20629.80713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,-6.335042559861904,take_profit,True,True,-7.5,65.5,8.733333333333333,1,291,291
6,865,2024-11-19T11:00:00,2024-11-19,2024-11-19T11:00:00,1993.664957440138,1953.6294587377051,short,20669.75,20686.767749351216,20686.767749351216,20638.30713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,-46.370541262294864,stop,False,False,-39.25,26.5,0.6751592356687898,1,313,313
7,865,2024-11-20T18:00:00,2024-11-20,2024-11-20T18:00:00,1953.6294587377051,2010.5151855114236,short,20753.75,20722.30713661314,20770.767749351216,20722.30713661314,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,10.515185511423624,take_profit,True,True,-4.75,109.0,22.94736842105263,1,342,342
8,865,2024-11-21T11:00:00,2024-11-21,2024-11-21T11:00:00,2010.5151855114236,2067.400912285142,long,20732.75,20764.19286338686,20715.732250648784,20764.19286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,67.40091228514211,take_profit,True,True,-35.25,124.25,3.524822695035461,1,359,359
9,865,2024-12-05T15:00:00,2024-12-05,2024-12-05T15:00:00,2067.400912285142,2027.3654135827092,long,21475.5,21458.482250648784,21458.482250648784,21506.94286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,-17.01774935121648,-1.0000000000000167,-34.03549870243296,6.0,-40.03549870243296,27.365413582709152,stop,False,False,-38.0,1.0,0.02631578947368421,1,584,584
10,865,2024-12-09T06:00:00,2024-12-09,2024-12-09T08:00:00,2027.3654135827092,2084.2511403564276,long,21615.75,21647.19286338686,21598.732250648784,21647.19286338686,17.017749351216196,31.442863386858427,1.8476511046163293,1.8476511046163293,2.3043838978381697,1,31.442863386859244,1.8476511046163775,62.88572677371849,6.0,56.88572677371849,84.25114035642764,take_profit,True,True,-33.0,33.0,1.0,3,621,623
