combo_id,n_trades,gross_sharpe,mean_gross,std_gross,win_rate,entry_timing_offset,fill_slippage_ticks,cooldown_after_exit_bars
1298,498,2.2722610794112152,1126.9904012171328,4593.599244713396,0.38353413654618473,0,2,3
865,747,2.0980036541999896,650.4923580158887,3517.002721795513,0.4431057563587684,1,1,3
1447,310,1.662864767391767,1119.5533877396829,4919.774177870391,0.16451612903225807,0,1,3
1149,101,1.650168407278089,1132.5505064871147,2862.6380675681,0.4752475247524752,1,2,10
70,249,1.2313410989331048,762.7305370819538,4056.662501196805,0.3895582329317269,1,1,10
664,2658,1.1995298397276557,149.45030304883605,2665.8743573197094,0.4872084273890143,1,1,3
587,1139,1.1199357373337102,307.3213431269661,3843.597713020667,0.13169446883230904,1,0,0
348,114,1.0620807420529341,768.4810529215682,3206.302552823887,0.5087719298245614,0,0,0
483,169,0.9891892037384131,1117.8384069479541,6097.045790143869,0.2603550295857988,2,1,0
608,188,0.9132252582787177,707.8525435493082,4410.829309158377,0.32978723404255317,0,2,0
804,210,0.8949430804624706,487.65646192453215,3277.2129418890772,0.26666666666666666,1,0,10
156,121,0.7745839381438548,637.4866959159999,3757.2644953149024,0.4049586776859504,0,1,10
592,274,0.7568170995661229,498.2262977576639,4522.592284125844,0.31386861313868614,2,1,0
918,371,0.7511266583979277,369.47825929495593,3932.2318158278845,0.3423180592991914,0,2,3
1383,1146,0.7484533852630517,142.78648749764014,2680.347525541361,0.36649214659685864,1,1,3
841,75,0.7384792585626961,264.1586178385306,1285.6819840768885,0.56,1,2,3
696,209,0.7244864069671724,564.7704319805923,4677.257693956142,0.28708133971291866,2,0,10
1050,300,0.7168669155141729,461.8212244947219,4630.9748590333575,0.3233333333333333,1,1,3
1220,206,0.693030421231359,403.37076625978636,3467.0665379801653,0.3786407766990291,0,0,10
642,51,0.6898016097010253,1267.5673682874042,5446.385525739887,0.3333333333333333,1,1,0
519,205,0.6847756620773042,391.1385168558915,3394.186045745242,0.3902439024390244,2,1,3
140,238,0.6697635592492843,436.0192943511246,4168.205445379279,0.1134453781512605,2,2,3
599,435,0.6586958946037164,226.77311164759956,2980.0783063763743,0.4206896551724138,2,1,10
674,189,0.6567027564274162,347.3676655858025,3018.060198020623,0.4708994708994709,0,0,0
1088,496,0.6316895628173707,244.49277695019924,3577.4997759765674,0.3709677419354839,2,0,3
43,120,0.6110113307037213,727.0368440944761,5409.712987653451,0.25833333333333336,1,1,0
1236,174,0.5973213109510146,435.2287858381719,3988.9690916282325,0.3218390804597701,2,1,10
838,82,0.5924069176286697,399.47128993412997,2534.2463047364654,0.5487804878048781,1,0,3
633,920,0.592227914679881,127.3960628739972,2707.9303583822943,0.46956521739130436,0,0,3
1153,108,0.5807193814484418,696.7436122678923,5174.81701788952,0.26851851851851855,0,2,10
