combo_id,n_trades,gross_sharpe,mean_gross,std_gross,win_rate,entry_timing_offset,fill_slippage_ticks,cooldown_after_exit_bars
1744,2346,1.816900321085051,231.41265813496688,2560.3330250676568,0.5115089514066496,2,1,10
2352,1441,1.732582411624434,467.3393805721905,4249.588838037204,0.32616238723108953,0,0,0
2263,108,1.612559540336483,1092.1837692918812,2921.2470174516798,0.5925925925925926,0,1,10
1286,1529,1.4501364575997973,255.113475238796,2854.9908149110606,0.4728580771746239,1,1,3
2489,521,1.4188913427779486,378.2133141370952,2525.1255766464164,0.5335892514395394,2,2,10
865,2786,1.3858877619135759,217.51391603740353,3438.1592496856865,0.38190954773869346,1,1,3
748,568,1.3738323308692808,503.6918279956105,3626.4507608625004,0.43838028169014087,0,2,10
146,127,1.3716258992854218,756.4131896434101,2579.2991888780725,0.6141732283464567,0,0,10
2951,116,1.3485225364192945,772.068664937251,2559.19369681241,0.5258620689655172,0,1,3
890,811,1.2850319787445226,425.96101915222476,3917.8048006500576,0.3477188655980271,2,2,3
2517,728,1.252173520247189,420.2498838036777,3758.2461491999543,0.37362637362637363,0,2,3
2336,4757,1.2172726252389554,90.02041229513216,2116.879625299997,0.462055917595123,2,2,10
664,8334,1.1824578994893264,72.17514380323584,2312.6247218160315,0.4617230621550276,1,1,3
1298,1256,1.166703869277088,342.7781959963998,4321.393509392734,0.30095541401273884,0,2,3
2564,1169,1.1653523246729018,269.2297189006664,3278.3057199294817,0.41060735671514115,1,1,0
1149,343,1.1527120442055807,433.1408517814931,2888.2303032775512,0.37317784256559766,1,2,10
1666,2238,1.1347963747878764,233.81950017952593,4045.4726940967766,0.3583556747095621,0,0,3
1685,3735,1.1271161432072185,216.46074480745852,4871.158111607117,0.23882195448460508,1,2,0
1953,1859,1.1055758630152577,221.45388780579324,3584.354042861273,0.3657880580957504,0,1,10
2946,1476,1.0899435066854353,222.26443703563245,3251.5139016098597,0.39498644986449866,2,2,10
1346,127,1.0848671224311675,720.6077727933391,3106.7098895638255,0.4566929133858268,0,1,0
2736,644,1.0685525658955535,333.60208335386045,3288.1546954156815,0.2748447204968944,2,0,0
2721,399,1.0668700846941237,676.0531783509105,5253.300137636698,0.2681704260651629,0,0,3
2997,1046,1.0585935960223776,287.6269589101847,3647.05753202262,0.36806883365200765,1,1,0
408,2123,1.0208111815339724,133.62630549658866,2503.21403275559,0.4441827602449364,2,1,0
1695,80,0.997815069098577,1375.150162692014,5115.893613176046,0.3625,0,0,3
2666,453,0.9933723314598136,482.0020729617017,4286.100919650326,0.32671081677704195,0,0,10
2237,1611,0.99197709302714,285.9034371108442,4801.1132260386385,0.2942271880819367,1,0,10
1919,2201,0.9880925484714665,127.41180961785712,2510.7214104472732,0.5197637437528396,2,1,3
918,973,0.98212112624133,285.21469009170954,3759.5832166617765,0.35046248715313466,0,2,3
1702,531,0.9786216958571397,342.1881258703545,3344.0579970583453,0.4350282485875706,1,1,0
2530,1515,0.9778354087543942,172.1926547136356,2844.668236207718,0.4561056105610561,1,2,10
419,464,0.9664023209727071,500.14579124698093,4626.729288003506,0.16594827586206898,1,0,10
1088,1092,0.9349528744197865,240.45040071667398,3527.1469037716147,0.36904761904761907,2,0,3
791,1455,0.9322731090692624,189.7935200403041,3222.895060317834,0.38831615120274915,2,2,3
1682,59,0.9302634197770572,768.526039492502,2633.6320215657015,0.5254237288135594,0,2,10
1996,163,0.929454389778568,648.7284720671192,3698.3254266261492,0.44171779141104295,1,2,10
1045,1244,0.9272402807393282,312.418428196588,4932.089949085978,0.2628617363344051,0,2,10
1574,734,0.9263197805345702,189.2961296241375,2297.763208559053,0.48501362397820164,0,1,10
1947,52,0.921166877690232,740.814018688426,2406.849834792605,0.5961538461538461,0,0,10
788,1875,0.9178886929573331,115.55675251678848,2262.4677085090757,0.4629333333333333,2,0,3
519,732,0.9172574156988335,287.7177916609095,3522.146955585863,0.35655737704918034,2,1,3
927,894,0.9038302495231669,348.43506814543,4783.879040550281,0.2941834451901566,0,1,3
886,789,0.8985206819080965,281.62566912060964,3653.9205937172105,0.34474017743979724,2,2,10
1135,506,0.8955513078632479,519.8774713878121,5419.537539218582,0.24308300395256918,0,2,10
1878,1778,0.8917191616011854,267.94215212456356,5258.419933350884,0.21541057367829022,2,2,0
2194,1924,0.887231122148783,91.34258705533091,1874.1982113346958,0.49636174636174635,1,0,3
364,214,0.8779111521755414,509.4962804785229,3523.4960059102305,0.4205607476635514,2,1,0
575,1113,0.8765546642849624,235.7512526304841,3723.90875434923,0.34052111410601976,1,1,10
2585,71,0.8716409712963222,1176.2435757196,4719.165930260811,0.39436619718309857,2,2,3
885,1463,0.8663323390216481,170.56823133203298,3125.4476414932674,0.3738892686261107,0,1,10
2695,1604,0.8661861753317234,149.7538581576164,2873.726276609413,0.45012468827930174,2,0,10
1316,3643,0.8652279598697964,114.06469237041206,3302.3775169687888,0.37469118858083994,1,2,10
2597,426,0.8648478744944325,498.5725613314579,4938.21387949535,0.3051643192488263,2,2,10
677,103,0.8574621423568243,441.2205701872016,2167.3839558164555,0.6019417475728155,0,2,3
2492,1165,0.855059337888029,175.54388284432005,2908.2306938615284,0.38798283261802574,1,0,10
1981,882,0.8427118144848615,259.1031076866711,3789.6951582826177,0.37528344671201813,2,2,10
1572,55,0.8426534503133055,1159.5840126017367,4235.5616298633,0.4727272727272727,2,2,0
435,1064,0.8407636377144401,269.6087094054314,4341.174625424186,0.2819548872180451,0,2,10
2421,995,0.8394116915320042,175.97640191281232,2744.526352394284,0.4844221105527638,0,1,0
850,628,0.8129474547938912,380.2883471833237,4865.268459293908,0.25636942675159236,0,1,3
1111,278,0.8113411305927501,477.5125324359838,4072.6784654060352,0.3345323741007194,2,2,3
2587,424,0.8056256947214466,280.66569079354304,2977.250595489036,0.29952830188679247,1,0,10
2934,4933,0.8001342350475323,43.494456082422744,1584.5394421297815,0.4390837218730995,0,0,10
1177,131,0.7952729361564823,460.9292319420667,2753.151696185943,0.5267175572519084,2,0,3
647,195,0.7950077061460109,490.81237249430404,3577.980046200103,0.38974358974358975,0,1,3
1278,737,0.7943875046137512,200.41710821183815,2842.57921469299,0.44640434192673,0,1,10
1782,168,0.7908320358217344,409.628270236959,2786.356962969714,0.4880952380952381,2,0,10
1121,176,0.7893001274311379,443.89650548804025,3096.5088962049385,0.44886363636363635,1,1,10
2367,194,0.7859216782587347,681.5292959033204,5012.825314404767,0.29381443298969073,0,0,3
2630,254,0.7826780513697436,457.759138484564,3868.5407087087383,0.21653543307086615,1,2,10
135,1172,0.781393012823165,266.08410621583056,4838.265106751167,0.23976109215017063,1,1,10
1933,133,0.7806531923472921,411.29988274314024,2521.753957866508,0.49624060150375937,0,1,10
1171,86,0.777498204223818,906.3338376446662,4486.5702317884225,0.36046511627906974,1,1,0
1909,78,0.7699171258911006,629.0123496537518,2994.60081479298,0.5128205128205128,1,2,0
1084,432,0.763867060639809,236.8647670756147,2674.8596594805017,0.3611111111111111,2,0,3
2920,405,0.7603946232711268,278.83132165674226,3062.714231317134,0.4444444444444444,0,0,10
586,764,0.7562695807614226,316.7833968613535,4805.17162043385,0.2696335078534031,0,0,3
348,193,0.7534372545680414,413.85852220753577,3167.086401378677,0.45077720207253885,0,0,0
117,300,0.7528262789115087,253.86652754542612,2424.084442828031,0.47,1,2,10
2325,1340,0.7524358143516648,120.07723889200646,2424.4882197048755,0.5097014925373134,0,1,3
1876,917,0.75036316407285,210.47015800149867,3525.1705546724406,0.20719738276990185,2,1,3
1983,1234,0.7451248213784302,273.76254706619864,5356.474317324126,0.2252836304700162,1,1,10
815,62,0.7355082967960629,632.0665811347578,2808.3261397800666,0.5483870967741935,0,0,3
912,73,0.7339865098299936,539.0528259157223,2604.2407135341377,0.4657534246575342,0,2,0
50,915,0.7335879667137073,206.04111540211315,3526.051778386975,0.37923497267759565,1,1,0
1142,1422,0.7281035235671279,153.40405811840307,3297.387284681955,0.379746835443038,1,0,3
2899,965,0.7258725270848887,182.08095612715914,3234.0316616777004,0.40103626943005183,0,2,0
2169,3162,0.7206956965188377,164.10388586967522,5314.033818931949,0.21283997469955723,2,1,0
682,6429,0.7179337697106589,49.238676774344135,2282.2864365007163,0.43397106859542695,1,1,3
319,96,0.7155116488505784,791.0968171212231,4495.986411917024,0.25,1,1,0
321,161,0.7141432127917873,846.4336961246078,6241.615537157711,0.2236024844720497,0,1,0
1220,794,0.709310272707938,245.94134937998,4054.917270459919,0.3249370277078086,0,0,10
2398,1506,0.7064652863893202,207.2642212696689,4725.224457111086,0.250996015936255,2,2,10
1562,186,0.6989312850163398,588.3280135746259,4764.506948700927,0.2849462365591398,2,1,3
920,789,0.6981575717279211,118.66057768615195,1981.3808099618404,0.4309252217997465,1,2,10
864,132,0.6976603234378561,394.6755197244623,2697.488333975501,0.45454545454545453,0,0,0
2037,278,0.6976527974820447,495.45617091460485,4914.334849693757,0.2697841726618705,0,1,0
1216,243,0.6963231108793161,334.5196501066461,3108.067241849541,0.4609053497942387,0,2,0
579,465,0.6948832528080796,304.92945480647217,3927.267229510409,0.34838709677419355,1,1,3
1721,119,0.6947095468889414,614.2284798310297,4002.917210428288,0.3865546218487395,0,0,3
1125,78,0.6940183805044314,453.27042059397206,2393.922864205126,0.5384615384615384,1,0,10
2281,87,0.6926066119880646,699.7707036521351,3911.1565045037796,0.367816091954023,1,0,3
520,1783,0.6922464923272311,131.94713908392043,3340.345051075747,0.3808188446438587,0,0,0
1767,455,0.690875367370269,193.82992998251572,2483.7236555194627,0.45054945054945056,1,0,0
717,1019,0.6868681690676212,113.87198923295237,2196.377841807047,0.5004906771344455,2,2,3
2363,142,0.6837413309834222,358.95938733886504,2596.4149397564042,0.47183098591549294,1,1,10
2541,2688,0.6803970590605616,138.21711895122408,4371.09741675777,0.2853422619047619,1,2,0
1603,61,0.678129013345744,531.658422215342,2541.33392934822,0.39344262295081966,0,0,10
2456,230,0.6732208285103727,315.7212813372912,2951.798282354444,0.3,1,2,0
561,90,0.6723810555682871,575.1632988999961,3368.010191816665,0.45555555555555555,0,1,0
1554,902,0.671950494496889,308.76746923202796,5727.617060637613,0.19290465631929046,2,2,0
81,1641,0.6661571138363415,187.05355891711852,4720.848256649223,0.258988421694089,0,1,3
1693,923,0.6656695749369994,81.55140033086987,1544.7208577370964,0.447453954496208,2,0,10
1430,489,0.6641034608259493,276.77566347765196,3824.925948902382,0.3333333333333333,2,1,3
1929,573,0.6628074611527386,292.8789724641312,4389.899315148601,0.3263525305410122,0,0,10
1098,72,0.6502300799102724,449.89670106724407,2436.6235960461468,0.5277777777777778,2,2,10
778,150,0.6475943376192318,565.4629586711391,4438.366822177991,0.18,1,1,3
